"GeneID","geneSymbol","chr","strand","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
"ENSG00000231290","APCDD1L-DT","20","+",58519503,58519625,58519503,58519599,58547811,58547928,"14,17,18","10,0,11","33,34,27","0,2,0",175,149,0.000420941,0.030998545,"0.544,1.0,0.582","1.0,0.935,1.0",-0.27
"ENSG00000115687","PASK","2","-",241115021,241115177,241115042,241115177,241112239,241112439,"1,5,3","28,38,29","7,9,6","14,17,9",170,149,0.00057612,0.04031013,"0.03,0.103,0.083","0.305,0.317,0.369",-0.258
"ENSG00000107404","DVL1","1","-",1339286,1339439,1339361,1339439,1338521,1338653,"24,55,42","232,229,260","125,151,257","218,204,235",224,149,2.86e-13,3.15e-10,"0.064,0.138,0.097","0.276,0.33,0.421",-0.243
"ENSG00000148187","MRRF","9","+",122285168,122285946,122285168,122285287,122286038,122286166,"171,293,318","26,6,24","189,345,352","2,6,0",808,149,0.00011071,0.011902724,"0.548,0.9,0.71","0.946,0.914,1.0",-0.234
"ENSG00000102385","DRP2","X","+",101242903,101243098,101242903,101242982,101245016,101245077,"1,0,0","20,8,1","6,11,7","20,25,7",265,149,6.76e-05,0.008056285,"0.027,0.0,0.0","0.144,0.198,0.36",-0.225
"ENSG00000141401","IMPA2","18","+",12012169,12012349,12012169,12012215,12014264,12014373,"3,3,8","89,105,75","7,18,21","26,25,28",283,149,8.02e-07,0.000141461,"0.017,0.015,0.053","0.124,0.275,0.283",-0.199
"ENSG00000100209","HSCB","22","+",28744614,28744709,28744614,28744704,28751240,28751288,"0,0,1","13,26,18","5,4,7","29,12,22",154,149,0.000430021,0.031074336,"0.0,0.0,0.051","0.143,0.244,0.235",-0.19
"ENSG00000126456","IRF3","19","-",49664442,49664673,49664552,49664673,49663342,49663514,"1,6,11","27,96,53","23,32,21","49,58,34",259,149,3.84e-06,0.000583357,"0.021,0.035,0.107","0.213,0.241,0.262",-0.184
"ENSG00000008128","CDK11A","1","-",1707408,1707584,1707524,1707584,1705641,1705732,"93,193,101","33,54,25","133,244,305","9,37,32",265,149,0.000314194,0.024731548,"0.613,0.668,0.694","0.893,0.788,0.843",-0.183
"ENSG00000205981","DNAJC19","3","-",180986947,180987022,180986997,180987022,180985925,180985996,"150,164,139","29,60,48","183,198,213","16,14,20",199,149,6.09e-06,0.000894335,"0.795,0.672,0.684","0.895,0.914,0.889",-0.182
"ENSG00000197989","SNHG12","1","-",28580424,28580646,28580559,28580646,28579911,28579981,"55,52,93","370,406,457","91,163,136","177,246,220",284,149,1.42e-12,1.05e-09,"0.072,0.063,0.096","0.212,0.258,0.245",-0.161
"ENSG00000162910","MRPL55","1","-",228108436,228108508,228108440,228108508,228108234,228108318,"45,59,37","11,6,9","61,103,72","0,5,0",153,149,0.000734402,0.04831706,"0.799,0.905,0.8","1.0,0.953,1.0",-0.15
"ENSG00000215039","CD27-AS1","12","-",6450869,6450980,6450892,6450980,6448639,6448737,"5,4,5","77,102,56","14,21,18","53,77,54",172,149,0.000174394,0.016330329,"0.053,0.033,0.072","0.186,0.191,0.224",-0.148
"ENSG00000136068","FLNB","3","+",58141857,58141929,58141857,58141896,58142649,58142752,"341,333,218","56,69,41","232,282,174","30,0,1",182,149,2.86e-06,0.000449983,"0.833,0.798,0.813","0.864,1.0,0.993",-0.138
"ENSG00000163848","ZNF148","3","-",125323308,125323444,125323387,125323444,125313307,125313656,"76,101,75","12,9,6","62,168,101","0,0,1",228,149,0.000603438,0.040922357,"0.805,0.88,0.891","1.0,1.0,0.985",-0.136
"ENSG00000129810","SGO1","3","-",20174248,20175055,20175004,20175055,20171042,20171232,"216,400,401","7,13,7","119,119,94","0,1,0",905,149,0.00053904,0.038323981,"0.836,0.835,0.904","1.0,0.951,1.0",-0.125
"ENSG00000185122","HSF1","8","+",144309771,144311249,144309771,144309896,144311320,144311382,"8,801,009,969","1,5,0","7,689,661,129","14,6,26",1502,149,0.000302033,0.024206582,"0.989,0.952,1.0","0.845,0.941,0.812",0.114
"ENSG00000269893","SNHG8","4","+",118278708,118279137,118278708,118278792,118279388,118279431,"310,021,401,774","12,389,841,024","165,913,161,194","128,511,151,089",494,149,0.000176531,0.016330329,"0.43,0.396,0.343","0.28,0.263,0.249",0.126
"ENSG00000133030","MPRIP","17","+",17137915,17138429,17137915,17138075,17142626,17142765,"390,485,447","432,350,323","156,312,257","508,521,407",503,149,7.42e-07,0.000136369,"0.211,0.291,0.291","0.083,0.151,0.158",0.134
"ENSG00000114388","NPRL2","3","-",50349664,50350022,50349930,50350022,50349385,50349494,"124,169,163","1,0,0","177,263,211","22,9,16",415,149,2.88e-07,6.05e-05,"0.978,1.0,1.0","0.743,0.913,0.826",0.165
"ENSG00000115556","PLCD4","2","+",218615903,218616062,218615903,218615959,218618578,218618807,"7,17,9","0,1,0","32,73,94","6,9,16",252,149,0.000124243,0.012736389,"1.0,0.91,1.0","0.759,0.827,0.776",0.183
"ENSG00000116128","BCL9","1","+",147612882,147613199,147612882,147612977,147614426,147614616,"58,108,51","0,0,0","160,183,103","9,13,20",371,149,3.06e-07,6.13e-05,"1.0,1.0,1.0","0.877,0.85,0.674",0.2
"ENSG00000239779","WBP1","2","+",74458831,74459117,74458831,74458919,74459642,74459745,"81,130,137","1,0,0","51,202,133","11,4,20",347,149,9.64e-05,0.010898258,"0.972,1.0,1.0","0.666,0.956,0.741",0.203
"ENSG00000155229","MMS19","10","-",97461495,97461896,97461827,97461896,97460906,97461007,"140,201,181","7,10,0","137,133,152","10,24,34",481,149,0.000122903,0.012736389,"0.861,0.862,1.0","0.809,0.632,0.581",0.234
"ENSG00000124333","VAMP7","X","+",155889457,155889612,155889457,155889608,155898111,155898249,"7,11,8","0,0,0","13,21,9","5,7,2",153,149,0.000223359,0.019857328,"1.0,1.0,1.0","0.717,0.745,0.814",0.241
"ENSG00000116127","ALMS1","2","+",73489633,73491498,73489633,73490158,73519774,73520016,"409,424,330","0,0,0","272,379,188","18,12,3",1489,149,6.88e-09,2.33e-06,"1.0,1.0,1.0","0.602,0.76,0.862",0.259
"ENSG00000213614","HEXA","15","-",72353690,72355624,72355558,72355624,72353067,72353178,"8,841,252,708","2,21,4","6,651,049,799","33,47,41",2017,149,4.96e-10,2.43e-07,"0.97,0.815,0.929","0.598,0.622,0.59",0.301
"ENSG00000183762","KREMEN1","22","+",29138623,29138833,29138623,29138782,29140281,29140366,"18,11,12","13,13,14","11,5,4","27,55,42",200,149,1.08e-05,0.001542668,"0.508,0.387,0.39","0.233,0.063,0.066",0.308
"ENSG00000250510","GPR162","12","+",6823467,6824765,6823467,6823763,6825483,6825673,"28,23,27","0,0,0","142,182,250","8,10,18",1151,149,1.27e-08,3.73e-06,"1.0,1.0,1.0","0.697,0.702,0.643",0.319
"ENSG00000144120","TMEM177","2","+",119679166,119679617,119679166,119679225,119680831,119682118,"16,7,18","0,1,0","17,7,10","6,0,12",541,149,0.000322467,0.024937428,"1.0,0.658,1.0","0.438,1.0,0.187",0.344
"ENSG00000269313","MAGIX","X","+",49164706,49165090,49164706,49164789,49165189,49165361,"10,17,4","1,1,0","29,23,49","11,6,13",450,149,0.000139156,0.013940894,"0.768,0.849,1.0","0.466,0.559,0.555",0.346
"ENSG00000108591","DRG2","17","+",18099016,18099093,18099016,18099077,18100362,18100435,"2,2,1","0,0,1","9,1,3","1,6,6",165,149,0.000103814,0.011440355,"1.0,1.0,0.475","0.89,0.131,0.311",0.381
"ENSG00000163138","PACRGL","4","+",20700457,20700747,20700457,20700611,20704465,20704533,"25,31,24","2,0,0","21,30,11","7,10,8",285,149,6.45e-08,1.58e-05,"0.867,1.0,1.0","0.611,0.611,0.418",0.409
"ENSG00000118412","CASP8AP2","6","+",89829899,89830106,89829899,89830067,89846561,89846644,"8,4,8","7,11,0","0,1,1","2,6,2",188,149,0.000234892,0.020302049,"0.475,0.224,1.0","0.0,0.117,0.284",0.433
"ENSG00000119688","ABCD4","14","-",74288659,74288765,74288715,74288765,74287809,74287886,"6,3,11","0,0,0","10,18,10","9,4,15",205,149,1.11e-09,4.43e-07,"1.0,1.0,1.0","0.447,0.766,0.326",0.487
"ENSG00000139116","KIF21A","12","-",39321347,39322882,39322667,39322882,39319905,39320013,"338,346,269","32,27,15","34,60,34","76,107,68",1469,149,0,0,"0.517,0.565,0.645","0.043,0.054,0.048",0.527
"ENSG00000114388","NPRL2","3","-",50349912,50350022,50349930,50350022,50349385,50349490,"4,0,1","0,1,0","0,8,0","2,11,8",167,149,0.000177826,0.016330329,"1.0,0.0,1.0","0.0,0.394,0.0",0.535
"ENSG00000125703","ATG4C","1","+",62784134,62784273,62784134,62784225,62803718,62803862,"21,25,22","0,3,0","9,0,14","0,12,34",197,149,0.000293913,0.023992019,"1.0,0.863,1.0","1.0,0.0,0.237",0.542
"ENSG00000107864","CPEB3","10","-",92192476,92192636,92192545,92192636,92180962,92181019,"2,15,10","0,2,0","3,2,0","3,4,7",218,149,6.18e-09,2.27e-06,"1.0,0.837,1.0","0.406,0.255,0.0",0.725
"ENSG00000223960","AC009948.1","2","+",178426365,178426703,178426365,178426661,178430769,178430889,"3,8,10","0,0,1","2,0,4","2,5,12",191,149,2.7e-10,1.49e-07,"1.0,1.0,0.886","0.438,0.0,0.206",0.747
"ENSG00000102225","CDK16","X","+",47222260,47222380,47222260,47222342,47223551,47223759,"22,17,27","3,0,2","0,5,0","2,12,8",187,149,1.41e-12,1.05e-09,"0.854,1.0,0.915","0.0,0.249,0.0",0.84
"ENSG00000184949","FAM227A","22","-",38639614,38639724,38639654,38639724,38638745,38638822,"3,2,2","0,0,0","0,15,0","3,19,2",189,149,2.6e-11,1.63e-08,"1.0,1.0,1.0","0.0,0.384,0.0",0.872
