"GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
"ENSG00000167491","GATAD2A","19","+",19436130,19436219,19385825,19386138,19465344,19465614,"3,16,0","12,3,2","4,5,8","0,0,0",238,149,4.82e-06,0.000763251,"0.135,0.77,0.0","1.0,1.0,1.0",-0.698
"ENSG00000226312","CFLAR-AS1","2","-",201148733,201149200,201140307,201140445,201149653,201149671,"15,2,5","6,1,4","5,6,3","0,0,0",616,149,1.07e-10,3.78e-08,"0.377,0.326,0.232","1.0,1.0,1.0",-0.688
"ENSG00000065154","OAT","10","-",124414345,124414432,124411972,124412200,124414952,124415072,"0,0,7","2,4,4","2,3,3","1,0,0",236,149,1.54e-06,0.000270022,"0.0,0.0,0.525","0.558,1.0,1.0",-0.678
"ENSG00000092208","GEMIN2","14","+",39135930,39136155,39131957,39132068,39136439,39136624,"2,4,9","19,5,11","3,9,9","1,0,0",374,149,8.43e-09,2.31e-06,"0.04,0.242,0.246","0.544,1.0,1.0",-0.672
"ENSG00000160410","SHKBP1","19","+",40589081,40589178,40586692,40586944,40590729,40590853,"2,0,0","5,3,2","7,14,2","0,0,5",246,149,7.15e-07,0.000136399,"0.195,0.0,0.0","1.0,1.0,0.195",-0.667
"ENSG00000167549","CORO6","17","-",29617241,29617340,29616937,29617042,29617499,29617619,"0,1,0","4,0,1","1,5,4","0,0,0",248,149,1.13e-05,0.001609908,"0.0,1.0,0.0","1.0,1.0,1.0",-0.667
"ENSG00000179818","PCBP1-AS1","2","-",70077300,70077381,70055616,70055910,70083537,70083687,"2,0,0","0,4,8","2,1,3","0,0,0",230,149,4.28e-06,0.000687826,"1.0,0.0,0.0","1.0,1.0,1.0",-0.667
"ENSG00000130734","ATG4D","19","+",10547188,10547253,10544956,10545130,10551896,10551975,"0,4,0","2,0,8","1,6,1","0,0,0",214,149,8.27e-05,0.008698047,"0.0,1.0,0.0","1.0,1.0,1.0",-0.667
"ENSG00000150093","ITGB1","10","-",32935894,32936081,32935491,32935558,32957758,32957894,"16,14,1","9,19,8","1,13,5","0,2,0",336,149,5.69e-06,0.000886304,"0.441,0.246,0.053","1.0,0.742,1.0",-0.667
"ENSG00000230615","AL139220.2","1","+",44061131,44061227,44051289,44051531,44076090,44076192,"0,0,3","2,3,0","7,7,13","0,0,0",245,149,0.000125034,0.012351473,"0.0,0.0,1.0","1.0,1.0,1.0",-0.667
"ENSG00000144040","SFXN5","2","-",72968447,72968533,72942035,72945099,72988257,72988348,"2,3,3","10,15,3","2,4,9","0,2,0",235,149,7.31e-07,0.000139067,"0.113,0.113,0.388","1.0,0.559,1.0",-0.648
"ENSG00000167555","ZNF528","19","+",52414938,52415039,52406514,52406643,52415123,52415344,"15,18,0","17,4,8","9,5,1","0,0,0",250,149,3.29e-08,7.86e-06,"0.345,0.728,0.0","1.0,1.0,1.0",-0.642
"ENSG00000119707","RBM25","14","+",73064971,73065093,73058532,73058705,73069852,73069920,"0,4,1","3,3,1","13,2,9","3,0,0",271,149,8.59e-05,0.008984811,"0.0,0.423,0.355","0.704,1.0,1.0",-0.642
"ENSG00000079156","OSBPL6","2","+",178339671,178339764,178338990,178339094,178349223,178349389,"61,37,13","107,70,50","153,111,125","11,35,0",242,149,0,0,"0.26,0.246,0.138","0.895,0.661,1.0",-0.637
"ENSG00000138778","CENPE","4","-",103163478,103163553,103163136,103163256,103174735,103174903,"12,80,13","25,61,46","10,15,10","2,0,0",224,149,3.4e-10,1.14e-07,"0.242,0.466,0.158","0.769,1.0,1.0",-0.634
"ENSG00000125571","IL37","2","+",112917128,112917248,112913791,112913854,112917634,112917777,"2,1,7","2,6,2","8,1,1","0,0,0",269,149,9.51e-07,0.000175324,"0.356,0.085,0.66","1.0,1.0,1.0",-0.633
"ENSG00000148337","CIZ1","9","-",128202763,128202936,128199919,128200184,128204185,128204222,"0,5,5","10,3,1","17,5,2","0,0,0",322,149,1.6e-07,3.4e-05,"0.0,0.435,0.698","1.0,1.0,1.0",-0.622
"ENSG00000176261","ZBTB8OS","1","-",32633644,32633727,32627571,32627865,32634767,32634792,"0,3,3","9,3,7","12,3,4","0,0,3",232,149,1.54e-05,0.002108098,"0.0,0.391,0.216","1.0,1.0,0.461",-0.618
"ENSG00000148700","ADD3","10","+",110132304,110132400,110130362,110130486,110133325,110134211,"3,2,0","97,164,158","132,219,267","45,130,60",245,149,0,0,"0.018,0.007,0.0","0.641,0.506,0.73",-0.617
"ENSG00000151327","FAM177A1","14","+",35109894,35109960,35106366,35106484,35110569,35110726,"2,0,1","1,5,1","5,7,20","0,0,3",215,149,3.19e-06,0.000529292,"0.581,0.0,0.409","1.0,1.0,0.822",-0.611
"ENSG00000075711","DLG1","3","-",197075836,197075870,197066703,197066754,197076585,197076685,"10,12,0","12,5,2","10,9,6","1,0,0",183,149,4.75e-06,0.000753467,"0.404,0.661,0.0","0.891,1.0,1.0",-0.609
"ENSG00000241990","PRR34-AS1","22","+",46055598,46055733,46054459,46054953,46056846,46056945,"18,0,5","0,10,12","20,13,12","0,0,0",284,149,0.000216014,0.01939004,"1.0,0.0,0.179","1.0,1.0,1.0",-0.607
"ENSG00000107249","GLIS3","9","-",4125733,4125941,4117767,4118881,4286037,4286523,"34,23,21","24,15,16","10,46,10","0,2,0",357,149,6.14e-12,2.56e-09,"0.372,0.39,0.354","1.0,0.906,1.0",-0.597
"ENSG00000125746","EML2","19","-",45624718,45624818,45621206,45621332,45629950,45630046,"4,9,1","2,8,4","2,20,37","0,2,0",249,149,8.81e-08,1.96e-05,"0.545,0.402,0.13","1.0,0.857,1.0",-0.593
"ENSG00000109390","NDUFC1","4","-",139296331,139296367,139295731,139295960,139297384,139297443,"3,0,0","3,6,4","6,5,1","4,2,0",185,149,0.00054117,0.041384553,"0.446,0.0,0.0","0.547,0.668,1.0",-0.59
"ENSG00000154380","ENAH","1","-",225517195,225517990,225514595,225514900,225519197,225519565,"183,216,231","110,61,73","101,279,179","5,5,0",944,149,0,0,"0.208,0.359,0.333","0.761,0.898,1.0",-0.586
"ENSG00000091039","OSBPL8","12","-",76459858,76459895,76450850,76450988,76487509,76487618,"5,5,0","22,28,14","9,21,30","13,8,0",186,149,2.33e-06,0.000394231,"0.154,0.125,0.0","0.357,0.678,1.0",-0.585
"ENSG00000104047","DTWD1","15","+",49633519,49633612,49625112,49625431,49634535,49634614,"0,5,14","6,13,12","6,24,18","4,0,2",242,149,4.6e-05,0.005286238,"0.0,0.191,0.418","0.48,1.0,0.847",-0.573
"ENSG00000197415","VEPH1","3","-",157489054,157489160,157470418,157470529,157493186,157493293,"30,27,18","24,15,20","13,7,2","0,0,0",255,149,5.23e-10,1.73e-07,"0.422,0.513,0.345","1.0,1.0,1.0",-0.573
"ENSG00000132016","C19orf57","19","-",13883307,13883400,13882354,13882952,13885960,13886055,"4,5,2","1,6,4","4,4,10","0,0,0",242,149,9.75e-07,0.000178824,"0.711,0.339,0.235","1.0,1.0,1.0",-0.572
"ENSG00000127948","POR","7","+",75946771,75947244,75945321,75945392,75953988,75954180,"4,2,4","3,5,0","5,6,15","0,0,0",622,149,0.000265047,0.022937144,"0.242,0.087,1.0","1.0,1.0,1.0",-0.557
"ENSG00000249915","PDCD6","5","+",304176,306754,272710,272772,314416,314969,"215,246,255","20,13,17","299,442,379","0,0,0",2727,149,0,0,"0.37,0.508,0.45","1.0,1.0,1.0",-0.557
"ENSG00000148655","LRMDA","10","+",76535797,76535987,76403225,76403366,76557208,76557366,"0,1,1","3,2,10","11,14,21","13,1,3",339,149,5.92e-07,0.000115696,"0.0,0.18,0.042","0.271,0.86,0.755",-0.555
"ENSG00000222041","CYTOR","2","+",87470149,87470304,87455478,87455645,87472739,87472885,"4,5,3","2,1,7","2,7,18","0,0,0",304,149,6.54e-06,0.001006815,"0.495,0.71,0.174","1.0,1.0,1.0",-0.54
"ENSG00000197619","ZNF615","19","-",52004416,52004723,52003696,52003900,52007292,52007330,"4,2,3","4,4,0","21,2,2","0,0,0",456,149,0.000475299,0.037447317,"0.246,0.14,1.0","1.0,1.0,1.0",-0.538
"ENSG00000137501","SYTL2","11","-",85711112,85711232,85709330,85709500,85714412,85714507,"110,86,70","87,88,50","327,291,241","15,17,2",269,149,0,0,"0.412,0.351,0.437","0.924,0.905,0.985",-0.538
"ENSG00000244306","DUXAP10","14","-",19307020,19307111,19292525,19296351,19331481,19331617,"11,6,10","36,35,24","3,8,162","2,1,32",240,149,2.4e-08,5.89e-06,"0.159,0.096,0.206","0.482,0.832,0.759",-0.537
"ENSG00000197779","ZNF81","X","+",47842649,47842768,47836901,47836987,47846104,47846321,"16,6,7","0,16,14","5,27,24","0,0,0",268,149,0.000469166,0.03714399,"1.0,0.173,0.218","1.0,1.0,1.0",-0.536
"ENSG00000167283","ATP5MG","11","+",118403923,118403985,118401618,118401717,118405656,118405709,"38,20,33","57,36,60","13,24,11","10,0,0",211,149,1.99e-05,0.002581448,"0.32,0.282,0.28","0.479,1.0,1.0",-0.532
"ENSG00000197619","ZNF615","19","-",52004416,52004849,52003848,52003900,52007292,52007330,"4,4,5","4,4,0","21,4,2","0,0,0",582,149,0.000510957,0.03972766,"0.204,0.204,1.0","1.0,1.0,1.0",-0.531
"ENSG00000111450","STX2","12","-",130795994,130796120,130790833,130791977,130798524,130798635,"104,99,111","127,152,140","45,59,88","14,7,0",275,149,1.74e-11,6.86e-09,"0.307,0.261,0.3","0.635,0.82,1.0",-0.529
"ENSG00000092978","GPATCH2","1","-",217495014,217495075,217492500,217492693,217498355,217498395,"0,0,4","11,1,10","9,22,5","10,0,5",210,149,0.000107558,0.010869029,"0.0,0.0,0.221","0.39,1.0,0.415",-0.528
"ENSG00000159023","EPB41","1","+",29096154,29096604,29068732,29068768,29097806,29097904,"2,18,10","16,7,0","4,2,3","0,0,0",599,149,0.000107946,0.01089135,"0.03,0.39,1.0","1.0,1.0,1.0",-0.527
"ENSG00000216937","CCDC7","10","+",32471063,32471230,32463016,32463049,32472480,32472542,"7,2,1","10,3,7","15,34,10","6,5,1",316,149,1.89e-05,0.002501188,"0.248,0.239,0.063","0.541,0.762,0.825",-0.526
"ENSG00000157578","LCA5L","21","-",39435419,39435573,39429130,39429211,39444134,39444201,"0,0,3","3,3,6","14,3,22","9,2,1",303,149,2.84e-05,0.003504289,"0.0,0.0,0.197","0.433,0.425,0.915",-0.525
"ENSG00000023516","AKAP11","13","+",42313046,42313130,42308453,42308609,42313893,42313940,"48,35,30","76,109,90","114,233,182","37,45,33",233,149,0,0,"0.288,0.17,0.176","0.663,0.768,0.779",-0.525
"ENSG00000188002","AC026412.1","5","-",1632643,1632751,1630408,1630566,1632844,1632906,"1,3,9","0,15,11","2,7,3","0,0,0",257,149,6.59e-05,0.007145324,"1.0,0.104,0.322","1.0,1.0,1.0",-0.525
"ENSG00000205403","CFI","4","-",109757762,109757783,109752467,109752503,109760269,109760380,"0,0,0","11,11,4","42,0,101","12,11,20",170,149,0.000341401,0.02841138,"0.0,0.0,0.0","0.754,0.0,0.816",-0.523
"ENSG00000157578","LCA5L","21","-",39435419,39435542,39429130,39429211,39444134,39444201,"0,0,3","3,3,6","13,3,12","9,2,1",272,149,7.73e-05,0.00823763,"0.0,0.0,0.215","0.442,0.451,0.868",-0.515
"ENSG00000116641","DOCK7","1","-",62544946,62545039,62543655,62543745,62552731,62552761,"27,48,28","92,51,56","28,34,23","25,3,0",242,149,7.54e-05,0.008071345,"0.153,0.367,0.235","0.408,0.875,1.0",-0.509
"ENSG00000198270","TMEM116","12","-",111965594,111965759,111938183,111938210,111978735,111978787,"12,1,9","2,1,6","6,2,3","0,0,0",314,149,0.000219954,0.019662308,"0.74,0.322,0.416","1.0,1.0,1.0",-0.507
"ENSG00000118473","SGIP1","1","+",66694438,66694504,66690189,66690316,66695433,66695493,"1,0,1","0,2,2","9,18,19","0,0,4",215,149,0.000176423,0.016341596,"1.0,0.0,0.257","1.0,1.0,0.767",-0.503
"ENSG00000041982","TNC","9","-",115052739,115053015,115048259,115048532,115055475,115055749,"124,204,62","57,56,29","18,76,19","0,2,0",425,149,1.31e-12,5.85e-10,"0.433,0.561,0.428","1.0,0.93,1.0",-0.503
"ENSG00000249915","PDCD6","5","+",306601,306754,272710,272772,314416,314969,"54,23,30","20,13,17","69,61,60","0,0,0",302,149,0,0,"0.571,0.466,0.465","1.0,1.0,1.0",-0.499
"ENSG00000171428","NAT1","8","+",18212390,18212774,18210129,18210180,18219410,18219489,"90,34,35","32,37,16","73,99,121","19,0,0",533,149,9.64e-07,0.000177283,"0.44,0.204,0.379","0.518,1.0,1.0",-0.498
"ENSG00000167491","GATAD2A","19","+",19427695,19427992,19386022,19386138,19465344,19465614,"8,28,8","12,3,2","10,11,10","0,0,0",446,149,1.68e-06,0.000292395,"0.182,0.757,0.572","1.0,1.0,1.0",-0.496
"ENSG00000111554","MDM1","12","-",68325440,68325575,68325172,68325247,68326656,68327021,"18,12,13","5,7,11","5,7,11","0,0,0",284,149,3.82e-13,1.84e-10,"0.654,0.474,0.383","1.0,1.0,1.0",-0.496
"ENSG00000026508","CD44","11","+",35198120,35198246,35189834,35190065,35208104,35208206,"147,94,87","212,115,137","81,86,56","12,8,14",275,149,0,0,"0.273,0.307,0.256","0.785,0.853,0.684",-0.495
"ENSG00000273345","AC104109.4","5","-",134312291,134312380,134308137,134308466,134319357,134319497,"8,11,17","23,8,9","14,24,19","0,0,6",238,149,2.54e-05,0.003173336,"0.179,0.463,0.542","1.0,1.0,0.665",-0.494
"ENSG00000090006","LTBP4","19","+",40616888,40617042,40614179,40614446,40619346,40619493,"29,48,81","12,37,26","44,81,93","0,0,0",303,149,0,0,"0.543,0.389,0.605","1.0,1.0,1.0",-0.488
"ENSG00000137807","KIF23","15","+",69446430,69446587,69446008,69446091,69446870,69446941,"5,14,5","9,14,0","7,9,1","0,0,0",306,149,0.000263596,0.022872364,"0.213,0.327,1.0","1.0,1.0,1.0",-0.487
"ENSG00000100614","PPM1A","14","+",60277004,60277091,60268292,60268435,60282683,60283537,"21,25,32","14,29,41","21,8,12","0,3,0",236,149,6.34e-07,0.000123138,"0.486,0.352,0.33","1.0,0.627,1.0",-0.486
"ENSG00000039560","RAI14","5","+",34813573,34813660,34812179,34812208,34814582,34814669,"260,194,182","334,281,173","94,142,79","19,14,8",236,149,0,0,"0.33,0.304,0.399","0.757,0.865,0.862",-0.484
"ENSG00000072518","MARK2","11","+",63903985,63904147,63903060,63903158,63904785,63905043,"32,42,28","70,64,77","94,121,98","24,37,15",311,149,0,0,"0.18,0.239,0.148","0.652,0.61,0.758",-0.484
"ENSG00000258875","AL135818.1","14","+",91243912,91243981,91242934,91243013,91244354,91244499,"1,5,0","14,7,19","17,7,4","3,1,11",218,149,0.000570553,0.04297504,"0.047,0.328,0.0","0.795,0.827,0.199",-0.482
"ENSG00000119509","INVS","9","+",100215400,100215488,100126382,100126549,100226061,100226213,"0,3,0","9,27,11","13,20,15","33,0,21",237,149,0.000120756,0.011999233,"0.0,0.065,0.0","0.199,1.0,0.31",-0.481
"ENSG00000112290","WASF1","6","-",110178597,110178742,110160634,110160732,110179438,110179649,"33,37,7","11,7,12","7,17,11","0,0,0",294,149,1.05e-08,2.75e-06,"0.603,0.728,0.228","1.0,1.0,1.0",-0.48
"ENSG00000180769","WDFY3-AS2","4","+",85000690,85000765,84969724,84969876,85004229,85004327,"4,0,1","25,4,14","9,16,3","6,5,3",224,149,3.84e-07,7.72e-05,"0.096,0.0,0.045","0.499,0.68,0.399",-0.479
"ENSG00000224078","SNHG14","15","+",25067411,25067531,25064770,25064855,25070119,25070259,"0,0,0","11,2,8","8,10,5","6,3,5",269,149,1.2e-09,3.76e-07,"0.0,0.0,0.0","0.425,0.649,0.356",-0.477
"ENSG00000196912","ANKRD36B","2","-",97580461,97580568,97560831,97560860,97584943,97585117,"6,13,5","2,7,4","2,8,9","0,0,0",256,149,8.36e-08,1.86e-05,"0.636,0.519,0.421","1.0,1.0,1.0",-0.475
"ENSG00000135951","TSGA10","2","-",99035229,99035439,99020279,99020482,99064938,99065124,"3,1,5","5,0,11","19,35,23","1,2,0",359,149,0.000175948,0.016341014,"0.199,1.0,0.159","0.887,0.879,1.0",-0.469
"ENSG00000198909","MAP3K3","17","+",63634708,63634801,63632680,63632802,63646033,63646074,"21,24,14","35,23,16","7,8,11","1,1,2",242,149,1.97e-05,0.002581448,"0.27,0.391,0.35","0.812,0.831,0.772",-0.468
"ENSG00000102908","NFAT5","16","+",69646516,69646578,69626402,69626528,69647027,69647167,"5,19,4","4,5,4","2,18,29","0,0,0",211,149,3.97e-06,0.000648434,"0.469,0.729,0.414","1.0,1.0,1.0",-0.463
"ENSG00000007545","CRAMP1","16","+",1666072,1666177,1665056,1665138,1666421,1666513,"13,5,2","7,13,8","12,27,17","2,2,8",254,149,0.000654369,0.047848311,"0.521,0.184,0.128","0.779,0.888,0.555",-0.463
"ENSG00000106772","PRUNE2","9","-",76619339,76619387,76611375,76614600,76625022,76625058,"0,1,0","18,2,21","8,6,6","4,2,8",197,149,1.18e-08,3.04e-06,"0.0,0.274,0.0","0.602,0.694,0.362",-0.461
"ENSG00000234520","HRAT17","7","-",112980045,112980164,112973604,112973672,112986535,112986664,"0,0,0","2,2,7","10,3,9","2,3,13",268,149,4.56e-06,0.000728564,"0.0,0.0,0.0","0.735,0.357,0.278",-0.457
"ENSG00000153310","FAM49B","8","-",129880375,129880458,129879388,129879471,129896671,129896854,"5,10,2","5,6,2","3,2,6","1,0,0",232,149,1.29e-05,0.001798659,"0.391,0.517,0.391","0.658,1.0,1.0",-0.453
"ENSG00000205746","AC126755.1","16","-",18349932,18350153,18349628,18349744,18350889,18351561,"0,17,3","5,2,1","2,5,13","0,1,0",370,149,0.000201248,0.018291679,"0.0,0.774,0.547","1.0,0.668,1.0",-0.449
"ENSG00000129007","CALML4","15","-",68199540,68199681,68197439,68197628,68205120,68205151,"8,3,17","3,4,2","6,10,6","0,0,0",290,149,0.000474795,0.037447317,"0.578,0.278,0.814","1.0,1.0,1.0",-0.443
"ENSG00000221817","PPP3CB-AS1","10","+",73498649,73498867,73496514,73496906,73499594,73499638,"23,20,26","11,19,1","7,17,17","0,0,0",367,149,7.28e-06,0.001097171,"0.459,0.299,0.913","1.0,1.0,1.0",-0.443
"ENSG00000249915","PDCD6","5","+",306601,306760,272710,272772,314416,314974,"60,31,45","20,13,17","102,64,78","0,0,0",308,149,0,0,"0.592,0.536,0.562","1.0,1.0,1.0",-0.437
"ENSG00000132970","WASF3","13","+",26676548,26676724,26671871,26671989,26680034,26680201,"15,17,12","9,16,19","40,41,37","13,3,3",325,149,2.36e-05,0.002998873,"0.433,0.328,0.225","0.585,0.862,0.85",-0.437
"ENSG00000081026","MAGI3","1","+",113682211,113682302,113681197,113681336,113682896,113685923,"20,26,24","30,6,17","35,37,12","2,0,1",240,149,7.94e-08,1.78e-05,"0.293,0.729,0.467","0.916,1.0,0.882",-0.436
"ENSG00000008838","MED24","17","-",40020527,40020619,40020272,40020353,40021172,40021414,"6,10,12","28,40,22","13,11,20","11,2,8",241,149,6.14e-05,0.006715639,"0.117,0.134,0.252","0.422,0.773,0.607",-0.433
"ENSG00000181163","NPM1","5","+",171391304,171391424,171387798,171388006,171392709,171392816,"6,1,2","9,0,5","3,5,2","0,1,0",269,149,0.000184977,0.016978788,"0.27,1.0,0.181","1.0,0.735,1.0",-0.428
"ENSG00000077782","FGFR1","8","-",38429681,38429948,38428345,38428435,38457355,38457446,"98,120,57","420,305,261","304,414,304","127,155,72",416,149,0,0,"0.077,0.124,0.073","0.462,0.489,0.602",-0.426
"ENSG00000161996","WDR90","16","+",651826,652039,651643,651747,652466,652535,"2,30,36","2,7,7","8,18,20","0,1,0",362,149,8.63e-06,0.001262558,"0.292,0.638,0.679","1.0,0.881,1.0",-0.424
"ENSG00000085274","MYNN","3","+",169783729,169783858,169782464,169782643,169784621,169784676,"11,3,9","7,0,13","11,15,32","0,0,0",278,149,0.000261332,0.02273659,"0.457,1.0,0.271","1.0,1.0,1.0",-0.424
"ENSG00000170946","DNAJC24","11","+",31408109,31408330,31396282,31396394,31414810,31414949,"26,15,33","14,7,11","11,41,62","0,3,4",370,149,7.49e-06,0.001125925,"0.428,0.463,0.547","1.0,0.846,0.862",-0.423
"ENSG00000248712","CCDC153","11","-",119193150,119193243,119190709,119190840,119194922,119194994,"0,0,2","6,3,5","12,13,46","10,11,18",242,149,9.05e-07,0.000167295,"0.0,0.0,0.198","0.425,0.421,0.611",-0.42
"ENSG00000032389","EIPR1","2","-",3318856,3318958,3214148,3214248,3338016,3338149,"0,0,0","13,10,4","5,6,2","2,3,9",251,149,0.000632879,0.046856086,"0.0,0.0,0.0","0.597,0.543,0.117",-0.419
"ENSG00000184304","PRKD1","14","-",29656475,29656499,29638693,29638904,29663698,29663859,"2,1,0","17,48,14","8,8,1","1,20,3",173,149,0.00059914,0.044817061,"0.092,0.018,0.0","0.873,0.256,0.223",-0.414
"ENSG00000172766","NAA16","13","+",41355143,41355216,41331273,41331369,41358303,41358473,"9,39,14","16,11,4","17,32,20","0,2,0",222,149,7.38e-07,0.000139666,"0.274,0.704,0.701","1.0,0.915,1.0",-0.412
"ENSG00000007341","ST7L","1","-",112550600,112550693,112523517,112526111,112576985,112577088,"0,2,0","6,0,4","1,2,5","2,0,0",242,149,7.46e-05,0.008005158,"0.0,1.0,0.0","0.235,1.0,1.0",-0.412
"ENSG00000163939","PBRM1","3","-",52554723,52554879,52550746,52550817,52561766,52561968,"65,69,67","55,83,80","54,124,98","15,21,12",305,149,3.64e-13,1.77e-10,"0.366,0.289,0.29","0.638,0.743,0.8",-0.412
"ENSG00000109756","RAPGEF2","4","+",159243773,159243791,159241200,159241368,159304341,159304473,"21,16,17","44,47,46","6,19,5","3,5,3",167,149,9.41e-06,0.001360123,"0.299,0.233,0.248","0.641,0.772,0.598",-0.41
"ENSG00000196873","CBWD3","9","+",68270301,68270385,68269599,68269722,68274881,68274938,"1,0,0","0,4,6","8,3,1","1,0,1",233,149,7.38e-07,0.000139666,"1.0,0.0,0.0","0.836,1.0,0.39",-0.409
"ENSG00000221817","PPP3CB-AS1","10","+",73498732,73498867,73496609,73496906,73499594,73499663,"17,23,30","11,19,1","2,20,6","0,0,0",284,149,2.16e-05,0.002783891,"0.448,0.388,0.94","1.0,1.0,1.0",-0.408
"ENSG00000135597","REPS1","6","-",138926400,138926478,138921036,138921124,138929976,138929997,"165,86,80","121,86,83","101,110,99","12,27,7",227,149,1.62e-13,8.3e-11,"0.472,0.396,0.388","0.847,0.728,0.903",-0.407
"ENSG00000089022","MAPKAPK5","12","+",111868752,111868861,111866155,111866231,111871084,111871180,"26,19,7","11,1,10","39,46,19","0,0,0",258,149,7.99e-05,0.008427351,"0.577,0.916,0.288","1.0,1.0,1.0",-0.406
"ENSG00000115504","EHBP1","2","+",62987930,62988038,62979187,62979335,62990715,62990840,"183,287,186","136,186,133","580,586,482","60,70,33",257,149,0,0,"0.438,0.472,0.448","0.849,0.829,0.894",-0.405
"ENSG00000026508","CD44","11","+",35204511,35204640,35189834,35190065,35208104,35208206,"316,221,187","212,115,137","178,91,133","12,8,14",278,149,0,0,"0.444,0.507,0.422","0.888,0.859,0.836",-0.403
"ENSG00000185495","AC138393.1","1","+",224002521,224002622,223992742,223993047,224003519,224003654,"9,0,2","7,11,0","1,3,11","0,1,0",250,149,0.000224117,0.019979573,"0.434,0.0,1.0","1.0,0.641,1.0",-0.402
"ENSG00000036549","AC118549.1","1","-",77584766,77584829,77584516,77584655,77639448,77639602,"7,2,7","9,9,1","14,3,3","0,2,0",212,149,0.000261108,0.02273659,"0.353,0.135,0.831","1.0,0.513,1.0",-0.398
"ENSG00000073921","PICALM","11","-",85990249,85990378,85983865,85983973,85996825,85996929,"226,190,150","195,198,181","353,379,375","58,98,55",278,149,0,0,"0.383,0.34,0.308","0.765,0.675,0.785",-0.398
"ENSG00000213753","CENPBD1P1","19","+",58589065,58589114,58586284,58586356,58589207,58589494,"10,10,2","12,1,3","2,6,10","0,0,2",198,149,0.000159641,0.015166567,"0.385,0.883,0.334","1.0,1.0,0.79",-0.396
"ENSG00000112851","ERBIN","5","+",66075023,66075230,66053405,66054951,66076315,66076408,"523,516,409","164,160,104","736,997,849","0,0,17",356,149,0,0,"0.572,0.574,0.622","1.0,1.0,0.954",-0.395
"ENSG00000172765","TMCC1","3","-",129860939,129861012,129838897,129839060,129880308,129880559,"16,4,6","11,26,0","8,10,9","0,2,0",222,149,0.000541059,0.041384553,"0.494,0.094,1.0","1.0,0.77,1.0",-0.394
"ENSG00000163939","PBRM1","3","-",52558248,52558413,52550746,52550817,52561766,52561968,"27,62,37","55,83,80","31,71,59","15,21,12",314,149,2.02e-09,6.15e-07,"0.189,0.262,0.18","0.495,0.616,0.7",-0.393
