"gene_id","M3_1_U87","M3_2_U87","M3_3_U87","LUC_1_U87","LUC_2_U87","LUC_3_U87","M3_U87","LUC_U87","log2FoldChange","pvalue","padj","gene_name","gene_chr","gene_start","gene_end","gene_strand","gene_length","gene_biotype","gene_description","tf_family","M3_1_U87_count","M3_2_U87_count","M3_3_U87_count","LUC_1_U87_count","LUC_2_U87_count","LUC_3_U87_count","M3_1_U87_fpkm","M3_2_U87_fpkm","M3_3_U87_fpkm","LUC_1_U87_fpkm","LUC_2_U87_fpkm","LUC_3_U87_fpkm"
"ENSG00000156970",2111.87455139845,2311.1919040155,2731.93531398695,347.55435422076,279.483676684924,249.771600102856,2385.0005898003,292.269877002847,3.03132959355313,6.38166379291084e-58,8.93900919685664e-55,"BUB1B","15",40161023,40221136,"+",4476,"protein_coding","BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]","-",1942,2357,2596,313,328,284,8.24504515363292,9.05487715851813,10.5050792734736,1.41575522891357,1.13416466513645,1.00492780995386
"ENSG00000185088",19162.3797477817,16333.2726114494,19611.8438025658,2943.66323654708,2855.33475783896,3577.71432823387,18369.1653872656,3125.57077420664,2.55498958363521,3.16642253393012e-57,4.15810649127537e-54,"RPS27L","15",63125872,63158021,"-",9127,"protein_coding","ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]","-",17621,16657,18636,2651,3351,4068,36.6890436416963,31.3820849327708,36.9836163252174,5.88051811048287,5.68249057637087,7.05926518018581
"ENSG00000137812",2057.50085028108,2184.69900812327,2284.68088084193,411.957397494894,351.910848996566,355.308895920964,2175.62691308209,373.059047470808,2.54566504752514,4.68023898362167e-57,5.78450007558088e-54,"KNL1","15",40594020,40664342,"+",10250,"protein_coding","kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]","-",1892,2228,2171,371,413,404,3.50777038646075,3.73769947328176,3.83637172805199,0.732797465943415,0.623617843544097,0.624257979543386
"ENSG00000105011",2079.25033072803,2316.09472943768,2415.17393898307,368.651902879528,272.667001643828,269.120104336176,2270.17299971626,303.479669619844,2.90641575623738,5.59393545246529e-57,6.52967654398602e-54,"ASF1B","19",14119509,14136956,"-",2304,"protein_coding","anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]","-",1912,2362,2295,332,320,306,15.770276354079,17.6283017860376,18.0420108176601,2.9173566381746,2.14961087447101,2.1035147148715
"ENSG00000065328",1265.81976201225,1442.41123920526,1300.72112792291,166.559594674486,102.250125616436,104.657818352957,1336.31737638014,124.489179547959,3.43278150653375,1.5522947557042e-56,1.7165929006369e-53,"MCM10","10",13161554,13211104,"+",5454,"protein_coding","minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]","-",1164,1471,1236,150,120,119,4.05575523452183,4.6377848479493,4.10476275364061,0.556813863900676,0.340532415757784,0.345571907686994
"ENSG00000171533",160.9461553074,126.492895892236,177.849409885899,1240.313781676,1192.06604781161,1266.4475498173,155.096153695178,1232.9424597683,-2.99241712278375,2.41148095174721e-56,2.53338131385803e-53,"MAP6","11",75586918,75669120,"-",6433,"protein_coding","microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]","-",148,129,169,1117,1399,1440,0.437201914108063,0.344817435160742,0.475836636470191,3.51539018904488,3.36586358096869,3.54532083873698
"ENSG00000109805",3760.48516927694,4688.08166868821,4451.49706400801,710.654270611138,526.588146924643,520.650659369333,4300.02130065772,585.964358968372,2.87723552616768,3.51602236333824e-56,3.51786408933809e-53,"NCAPG","4",17810902,17844862,"+",4921,"protein_coding","non-SMC condensin I complex subunit G [Source:HGNC Symbol;Acc:HGNC:24304]","-",3458,4781,4230,640,618,592,13.3538198958887,16.7062292582809,15.5693946107142,2.63305859347984,1.9436920436997,1.9053507899411
"ENSG00000072571",3165.63687905297,3542.78165006704,3644.33435760277,668.459173293602,542.777750147246,552.311848114766,3450.91762890759,587.849590518538,2.55490023705565,5.47366227585386e-56,5.22759627627116e-53,"HMMR","5",163460203,163491945,"+",3936,"protein_coding","hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]","-",2911,3613,3463,602,637,628,14.0546814368989,15.7843219312993,15.9361029074591,3.09653017252033,2.50482096409396,2.52703441595275
"ENSG00000143476",2213.00963547674,2306.28907859332,2433.06411630887,269.826543372667,191.718985530817,133.680574702937,2317.45427679298,198.40870120214,3.55113230381211,5.56405572095646e-55,5.08288585882679e-52,"DTL","1",212035553,212107400,"+",4916,"protein_coding","denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]","-",2035,2352,2312,243,225,152,7.86658844793248,8.22694324817406,8.51845197488005,1.00075625675695,0.708374616892399,0.489709260189297
"ENSG00000175274",64.1609673184904,52.9505145595406,51.5658052331897,565.192224595421,674.850829068475,692.148765073759,56.2257623704069,644.063939579218,-3.52039344434587,1.25871341816397e-54,1.10195115121013e-51,"TP53I11","11",44885903,44951306,"-",7345,"protein_coding","tumor protein p53 inducible protein 11 [Source:HGNC Symbol;Acc:HGNC:16842]","-",59,54,49,509,792,787,0.152649048713018,0.126419776424408,0.120833958646927,1.40300719054284,1.66888237584527,1.69703005900209
"ENSG00000101003",1194.04647653733,1326.70455924182,1301.77349129501,198.761116311553,166.156454126708,204.038771915009,1274.17484235805,189.652114117757,2.74971185574176,1.84798873323589e-54,1.55312365096077e-51,"GINS1","20",25407727,25452628,"+",4068,"protein_coding","GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]","-",1098,1353,1237,179,195,232,5.1292667639586,5.71912923747149,5.50774061508287,0.890852906677904,0.741901098268755,0.903261799017064
"ENSG00000137575",44436.3635011551,36745.6959741523,33655.6330033192,4735.84447524454,4226.33852547934,2698.23686308296,38279.2308262089,3886.80662126895,3.30008214173738,3.32537013322987e-54,2.68728276420357e-51,"SDCBP","8",58552924,58582860,"+",4778,"protein_coding","syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]","-",40862,37474,31981,4265,4960,3068,162.520206214981,134.864288421446,121.2357260628,18.0720244181546,16.0667441500855,10.1698796270763
"ENSG00000177105",3233.06026843851,2859.32778621519,2973.97888957131,477.470838066859,453.308890232864,323.647707175532,3022.12231474167,418.142478491752,2.85480768627978,9.4073347301087e-54,7.32064851904867e-51,"RHOG","11",3826978,3840983,"-",1782,"protein_coding","ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]","-",2973,2916,2826,430,532,368,31.7045139939491,28.1379775102206,28.7242819878549,4.88533860792047,4.62057771805486,3.27074526735681
"ENSG00000276672",474.13867374342,473.612935782557,612.475482565641,34.422316232727,24.7104470239719,35.179098606036,520.075697363873,31.4372872875783,4.05463818451683,1.30381399406187e-53,9.78372708186928e-51,"AL161891.1","13",33846190,33850825,"+",4636,"sense_intronic","novel transcript, sense intronic to RFC3","-",436,483,582,31,29,40,1.78721562487951,1.79149979042999,2.27386292759547,0.135379274123012,0.0968159513782456,0.136654257475284
"ENSG00000133818",5430.84526760239,4405.67892437066,4326.2658227274,849.453932839877,698.70919171231,649.933846746516,4720.93000490015,732.698990432901,2.688833973653,2.06267668575126e-53,1.49444482221792e-50,"RRAS2","11",14277926,14364506,"-",3453,"protein_coding","RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]","-",4994,4493,4111,765,820,739,27.4843740417755,22.374477306169,21.5643127677309,4.48537513754499,3.675442398748,3.38964692099155
"ENSG00000140575",34974.2520327113,32963.6564434829,30570.1035963046,7037.69807364593,6588.316427219,5523.11848114766,32836.0040241663,6383.04432733753,2.36305979425604,5.72085645522142e-53,4.00669716602191e-50,"IQGAP1","15",90388218,90502243,"+",11535,"protein_coding","IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]","-",32161,33617,29049,6338,7732,6280,52.9841334462072,50.1134628404948,45.6140160956018,11.1241939103142,10.3744861054314,8.62280664169054
"ENSG00000135472",1377.82958631402,1226.68692062936,1606.95886920573,7669.51413611115,7544.35510173267,9104.35071924213,1403.82512538304,8106.07331902865,-2.52981401560587,4.09794260877148e-52,2.77747974686766e-49,"FAIM2","12",49866896,49904217,"-",6057,"protein_coding","Fas apoptotic inhibitory molecule 2 [Source:HGNC Symbol;Acc:HGNC:17067]","-",1267,1251,1527,6907,8854,10352,3.97514460636368,3.55150797532832,4.56631836297213,23.086909310797,22.6242551947296,27.0690673312237
"ENSG00000164300",3635.42565670701,3288.81529319813,2485.68228491416,393.080643431786,479.72350601711,399.282769178509,3136.6410782731,424.028972875802,2.88612177163445,7.98528730107666e-52,5.2430897338413e-49,"SERINC5","5",80111651,80256079,"-",9570,"protein_coding","serine incorporator 5 [Source:HGNC Symbol;Acc:HGNC:18825]","-",3343,3354,2362,354,563,454,6.63832222788508,6.02648637096295,4.47046479608916,0.748902428460367,0.910518562252422,0.751364233269485
"ENSG00000091651",2245.63385614716,2580.84730223538,2397.28376165727,474.139646173369,396.219236763688,368.501057898228,2407.92164001327,412.953313611761,2.54572355843638,1.31495284416659e-51,8.37226491175278e-49,"ORC6","16",46689643,46698394,"+",4309,"protein_coding","origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]","-",2065,2632,2278,427,465,419,9.10704437175656,10.5032196807187,9.57551077727258,2.00625113553957,1.67020125498467,1.54008301623126
"ENSG00000123485",3756.13527318755,4691.02336394152,5479.65607855548,722.868640887267,529.144400065054,545.276028393559,4642.27157189485,599.096356448627,2.95542484058909,5.12319553762125e-51,3.16598416002823e-48,"HJURP","2",233833416,233854566,"-",3821,"protein_coding","Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]","-",3454,4784,5207,651,621,620,17.1782605747064,21.5291652635704,24.6828477134663,3.4493547792515,2.51539914732656,2.56992976541716
"ENSG00000146670",2497.92782933174,2538.68300360464,2384.655401192,401.963821814425,287.152436106157,240.976825451347,2473.75541137612,310.031027790643,2.99981239671212,1.57551203867747e-50,9.45802384132921e-48,"CDCA5","11",65066300,65084164,"-",3925,"protein_coding","cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]","-",2297,2589,2266,362,337,274,11.1212915152541,11.342412760277,10.4569484773637,1.86725153047061,1.32887027409336,1.10564957781901
"ENSG00000175643",825.392782961596,867.800099725804,1191.27533722389,98.8253595068614,63.0542441301353,58.0455126999595,961.489406637097,73.3083721123187,3.72391267341762,2.97907861675472e-50,1.73870613379537e-47,"RMI2","16",11249619,11381662,"+",3632,"protein_coding","RecQ mediated genome instability 2 [Source:HGNC Symbol;Acc:HGNC:28349]","-",759,885,1132,89,74,66,3.97127376457389,4.18996590586755,5.64527770457736,0.496110114575204,0.315339392598611,0.287809217271871
"ENSG00000057019",93957.7555308062,93006.5982587485,90338.0289516878,15134.7151694216,12304.9505335579,8684.83996836515,92434.1275804142,12041.5018904482,2.94049315435097,3.66380598621898e-50,2.08054669125532e-47,"DCBLD2","3",98795941,98901689,"-",11274,"protein_coding","discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]","-",86400,94850,85843,13630,14441,9875,145.636288544019,144.667961855639,137.91502421425,24.4766365980283,19.8249264320825,13.8728495528367
"ENSG00000105649",80.4730776536998,100.017638612465,103.131610466379,801.706849033191,746.42591699998,727.327863679795,94.5407755775149,758.486876570989,-3.00237499451618,3.85135860179223e-50,2.12949725216464e-47,"RAB3A","19",18196784,18204074,"-",1818,"protein_coding","RAB3A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9777]","-",74,102,98,722,876,827,0.773520328233545,0.964760138322561,0.976375606448494,8.04039219472576,7.45765990509546,7.2047386804322
"ENSG00000131747",11370.6283776633,12391.4009720169,13145.0708809749,2481.73796064984,1795.34178894858,1787.97768665178,12302.3667435517,2021.6858120834,2.60590306423773,4.54153293157875e-50,2.44672175449747e-47,"TOP2A","17",40388516,40417950,"-",6437,"protein_coding","DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]","-",10456,12637,12491,2235,2107,2033,30.8685305550976,33.7577532646612,35.1478223771203,7.02955661400386,5.06609551189607,5.00219332318417
"ENSG00000175063",6508.53202374856,6662.93974874219,9304.99693616047,1172.57954650838,832.486439393813,848.695753870619,7492.15623621707,951.253913257604,2.97843259344689,5.79675659475303e-49,3.0448913203089e-46,"UBE2C","20",45812576,45816957,"+",1286,"protein_coding","ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]","-",5985,6795,8842,1056,977,965,88.4416989725167,90.8576606618903,124.535814565109,16.6248166473939,11.7583380523941,11.8848292736679
"ENSG00000170035",7399.17324805099,9084.93550729895,9477.58452918584,1695.57667378626,1841.35434547598,1617.35905841251,8653.89776151193,1718.09669255825,2.33248954774355,9.66761394280707e-49,4.95429845249559e-46,"UBE2E3","2",180967248,181076585,"+",2973,"protein_coding","ubiquitin conjugating enzyme E2 E3 [Source:HGNC Symbol;Acc:HGNC:12479]","-",6804,9265,9006,1527,2161,1839,43.4913898309165,53.5875093985523,54.8683319186467,10.3986758976157,11.2499917652436,9.79700709845535
"ENSG00000152049",406.715284357888,379.478687676707,412.526441865517,2025.36467124174,2064.60045307186,2538.1719644255,399.573471300038,2209.3790295797,-2.46753988380036,2.05547643952875e-48,1.02827655883187e-45,"KCNE4","2",223051814,223198399,"+",4124,"protein_coding","potassium voltage-gated channel subfamily E regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:6244]","-",374,387,392,1824,2423,2886,1.72340296686663,1.61363522821706,1.721678809431,8.95447425188305,9.09341694269434,11.0836875077202
"ENSG00000145386",4625.02701704304,4758.6823547676,5241.82195645955,1043.77345996011,817.148920551348,770.422259472189,4875.1771094234,877.114879994549,2.4758004130966,2.38033260136871e-48,1.1630969369153e-45,"CCNA2","4",121816444,121823933,"-",2798,"protein_coding","cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]","-",4253,4853,4981,940,959,876,28.8856113245304,29.8246694747856,32.2443447083882,6.80164652106607,5.3047295089519,4.95864478722431
"ENSG00000178999",1596.41186480583,2086.64249967967,2705.6262296843,258.722570394368,235.175288917802,257.686897289214,2129.5601980566,250.528252200461,3.08808346788218,3.28219578985905e-48,1.56309549368471e-45,"AURKB","17",8204733,8210600,"-",2241,"protein_coding","aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]","-",1468,2128,2571,233,276,293,12.4485305575308,16.3283697148903,20.7799713221938,2.10498002557022,1.90616096820562,2.07077239327351
"ENSG00000165304",4017.12903855091,4687.10110360377,4973.46929657254,952.720881538058,761.763435842445,757.230097494926,4559.23314624241,823.904804958476,2.46932526599064,3.34773676720822e-48,1.56309549368471e-45,"MELK","9",36572862,36677683,"+",3087,"protein_coding","maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]","-",3694,4780,4726,858,894,861,22.7401933135266,26.6259017652413,27.7294854955455,5.62709922074691,4.48222069219145,4.41746507548845
"ENSG00000051341",1669.2726243031,1784.6284536734,1924.77260758171,326.456805561992,220.689854455473,230.423095869536,1792.8912285194,259.189918629,2.79432190093865,8.77880743968031e-47,4.00981571989398e-44,"POLQ","3",121431427,121546641,"-",9400,"protein_coding","DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]","-",1535,1820,1829,294,259,262,3.10323322826104,3.32932807183579,3.5242813821811,0.633218203710638,0.426446208373781,0.441448494855636
"ENSG00000008282",8634.54373743752,8117.11776896068,7589.64463962784,1683.36230351013,1448.54344623284,1147.71809202193,8113.76871534201,1426.5412805883,2.50846178586773,1.8894445105294e-46,8.44662098100707e-44,"SYPL1","7",106090503,106112576,"-",2804,"protein_coding","synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]","-",7940,8278,7212,1516,1700,1305,53.8116592918657,50.7645418474731,46.5867519738511,10.9459915016426,9.38346544348258,7.37121544793436
"ENSG00000152601",13195.4097871621,13480.8087808252,12380.0027094539,3422.24447191176,3288.19362294854,2971.75435474489,13018.7404258138,3227.39748320173,2.01229072530464,2.25615644574835e-46,9.87585480867052e-44,"MBNL1","3",152243828,152465780,"+",9989,"protein_coding","muscleblind like splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:6923]","-",12134,13748,11764,3082,3859,3379,23.0842552685585,23.6663110694855,21.3313197875672,6.24661206785292,5.97922797327081,5.35763078420676
"ENSG00000011426",8481.20990028655,9134.94432660518,9918.52478209822,1643.38800078826,1061.69713765066,996.447968015971,9178.22633632998,1233.84436881829,2.89610135451134,3.79269140794513e-46,1.62629059535378e-43,"ANLN","7",36389806,36453791,"+",6012,"protein_coding","anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]","-",7799,9316,9425,1480,1246,1133,24.6520953645102,26.6454811057271,28.3953424529049,4.98398421412413,3.20768281388129,2.9848158390036
"ENSG00000055208",10821.4539963779,8748.60168333742,8965.08356697026,2088.65731721805,2126.80261282186,1841.62581202599,9511.71308222854,2019.02858068863,2.23609925262363,3.90768239145498e-46,1.64208629453721e-43,"TAB2","6",149218641,149411613,"+",6010,"protein_coding","TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]","-",9951,8922,8519,1881,2496,2094,31.4648847178265,25.527060351341,25.6743152783567,6.3364824765353,6.42780148873434,5.51834448523478
"ENSG00000197183",539.387115084258,614.814307941332,669.30310465936,2978.0855527798,4112.15921854099,4033.28365518203,607.83484256165,3707.84280883427,-2.60894497398704,5.31703542486329e-46,2.19051433944711e-43,"NOL4L","20",32443059,32585074,"-",9448,"protein_coding","nucleolar protein 4 like [Source:HGNC Symbol;Acc:HGNC:16106]","-",496,627,636,2682,4826,4586,0.997644201171388,1.14114469192769,1.21927580203224,5.74715358903592,7.90568998490888,7.68777684506705
"ENSG00000035499",996.126204470122,1260.02613350018,1284.93567734132,182.105156844104,121.848066359586,124.885800051428,1180.36267177054,142.946341085039,3.05198794943166,1.70674300053065e-45,6.89622638156721e-43,"DEPDC1B","5",60596912,60700190,"-",3806,"protein_coding","DEP domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24902]","-",916,1285,1221,164,143,142,4.57362528711204,5.80560390183581,5.81074214433447,0.872386585127243,0.581513230781753,0.590916562973392
"ENSG00000150764",546.999433240689,596.183571337049,592.480578495628,2658.29113100479,2474.45303991774,2426.47832635134,578.554527691122,2519.74083242462,-2.12238695193949,1.78082112097657e-45,7.05977973072427e-43,"DIXDC1","11",111927144,112022584,"+",8509,"protein_coding","DIX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23695]","-",503,608,563,2394,2904,2759,1.1233713718614,1.2286780897896,1.19843530615921,5.6961253386861,5.28214641581143,5.13546506872516
"ENSG00000137310",2005.30209720841,2926.00621195683,2582.49971514791,415.288589388384,322.939980071909,293.745473360401,2504.60267477105,343.991347606898,2.86648559032011,4.46034368090653e-45,1.73548668665791e-42,"TCF19","6",31158542,31167159,"+",3538,"protein_coding","transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11629]","Others",1844,2984,2454,374,379,334,9.90460085942398,14.5028731517411,12.563234134621,2.14016712328838,1.65795877734779,1.49518606541061
"ENSG00000118193",1847.61836396805,2414.15123788127,3013.96869771133,335.339983944631,357.023355277388,299.022338151306,2425.24609985355,330.461892457775,2.87568210217428,1.46185267749274e-44,5.58454301941819e-42,"KIF14","1",200551497,200620734,"-",7277,"protein_coding","kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]","-",1699,2462,2864,302,419,340,4.43685151380667,5.81766529958769,7.12861832167173,0.840211231498066,0.891156532376548,0.740002428208195
"ENSG00000166508",8465.98526397369,10063.539461566,8613.59420068689,2227.45697944679,2096.12757513693,1915.50191909866,9047.7063087422,2079.69549122746,2.1214363229746,1.62857050876811e-44,6.1103383856655e-42,"MCM7","7",100092728,100101940,"-",4386,"protein_coding","minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]","-",7785,10263,8185,2006,2460,2178,33.7305855336144,40.2363669131749,33.801407139376,9.25968506507198,8.68078153411548,7.86494791275363
"ENSG00000155100",2898.11826955554,2878.93908790391,2540.40518026367,590.731362445509,535.108990726013,427.426048063338,2772.48751257437,517.755467078287,2.42212809734361,1.27244229664101e-43,4.69040089381129e-41,"OTUD6B","8",91070196,91087095,"+",3977,"protein_coding","OTU domain containing 6B [Source:HGNC Symbol;Acc:HGNC:24281]","-",2665,2936,2414,532,628,486,12.7343127873165,12.6944391594737,10.9942700065976,2.70825750883581,2.44397297712047,1.93547372957337
